,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_INTEVAL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
4,IC10-R3N-100 N,NSH,南沙,TSN,新港,2020-08-24 08:00:00,2020-08-26 23:00:00,0,0.0,0
5,IC10-R3N-100 N,NSH,南沙,TSN,新港,2020-08-24 10:00:00,2020-08-26 23:00:00,0,0.0,0
6,IC10-R3N-100 N,NSH,南沙,TSN,新港,2020-08-24 12:00:00,2020-08-26 23:00:00,0,0.0,0
7,IC10-R3N-100 N,NSH,南沙,TSN,新港,2020-08-24 14:00:00,2020-08-26 23:00:00,0,0.0,0
9,IC10-R3N-100 N,NSH,南沙,TSN,新港,2020-08-24 16:00:00,2020-08-26 23:00:00,2,1400.0,1
10,IC10-R3N-100 N,NSH,南沙,TSN,新港,2020-08-24 18:00:00,2020-08-26 23:00:00,0,0.0,0
18,IC10-R3N-100 N,NSH,南沙,TSN,新港,2020-08-25 08:00:00,2020-08-26 23:00:00,1,1400.0,1
22,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-07 08:00:00,2020-06-10 23:00:00,0,0.0,0
24,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-07 10:00:00,2020-06-10 23:00:00,2,458.0,1
25,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-07 12:00:00,2020-06-10 23:00:00,0,0.0,0
26,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-07 14:00:00,2020-06-10 23:00:00,0,0.0,0
27,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-07 16:00:00,2020-06-10 23:00:00,0,0.0,0
28,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-07 18:00:00,2020-06-10 23:00:00,0,0.0,0
42,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-08 08:00:00,2020-06-10 23:00:00,3,458.0,1
43,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-08 10:00:00,2020-06-10 23:00:00,0,0.0,0
44,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-08 12:00:00,2020-06-10 23:00:00,0,0.0,0
45,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-08 14:00:00,2020-06-10 23:00:00,0,0.0,0
46,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-08 16:00:00,2020-06-10 23:00:00,0,0.0,0
47,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-08 18:00:00,2020-06-10 23:00:00,0,0.0,0
54,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-09 08:00:00,2020-06-10 23:00:00,0,0.0,0
56,IC10-QSJ-115 N,NSH,南沙,TSN,新港,2020-06-09 10:00:00,2020-06-10 23:00:00,1,458.0,1
60,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-05 08:00:00,2020-05-09 23:00:00,0,0.0,0
61,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-05 10:00:00,2020-05-09 23:00:00,0,0.0,0
62,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-05 12:00:00,2020-05-09 23:00:00,0,0.0,0
64,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-05 14:00:00,2020-05-09 23:00:00,1,458.0,1
65,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-05 16:00:00,2020-05-09 23:00:00,0,0.0,0
66,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-05 18:00:00,2020-05-09 23:00:00,0,0.0,0
73,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-06 08:00:00,2020-05-09 23:00:00,0,0.0,0
74,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-06 10:00:00,2020-05-09 23:00:00,0,0.0,0
75,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-06 12:00:00,2020-05-09 23:00:00,0,0.0,0
77,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-06 14:00:00,2020-05-09 23:00:00,1,458.0,1
78,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-06 16:00:00,2020-05-09 23:00:00,0,0.0,0
79,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-06 18:00:00,2020-05-09 23:00:00,0,0.0,0
86,IC10-R3N-092 N,NSH,南沙,TSN,新港,2020-05-07 08:00:00,2020-05-09 23:00:00,0,0.0,0
