,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_INTEVAL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
10,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/25 08:00,2021/3/6 23:00,1,2339,1
11,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/25 10:00,2021/3/6 23:00,0,0,0
12,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/25 12:00,2021/3/6 23:00,0,0,0
13,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/25 14:00,2021/3/6 23:00,0,0,0
14,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/25 16:00,2021/3/6 23:00,0,0,0
15,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/25 18:00,2021/3/6 23:00,0,0,0
22,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/26 08:00,2021/3/6 23:00,0,0,0
23,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/26 10:00,2021/3/6 23:00,0,0,0
24,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/26 12:00,2021/3/6 23:00,0,0,0
25,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/26 14:00,2021/3/6 23:00,0,0,0
26,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/26 16:00,2021/3/6 23:00,0,0,0
27,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/26 18:00,2021/3/6 23:00,0,0,0
35,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/27 08:00,2021/3/6 23:00,1,2339,1
36,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/27 10:00,2021/3/6 23:00,0,0,0
37,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/27 12:00,2021/3/6 23:00,0,0,0
38,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/27 14:00,2021/3/6 23:00,0,0,0
39,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/27 16:00,2021/3/6 23:00,0,0,0
40,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/27 18:00,2021/3/6 23:00,0,0,0
47,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/28 08:00,2021/3/6 23:00,0,0,0
48,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/28 10:00,2021/3/6 23:00,0,0,0
49,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/28 12:00,2021/3/6 23:00,0,0,0
50,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/28 14:00,2021/3/6 23:00,0,0,0
51,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/28 16:00,2021/3/6 23:00,0,0,0
52,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/2/28 18:00,2021/3/6 23:00,0,0,0
59,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/1 08:00,2021/3/6 23:00,0,0,0
61,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/1 10:00,2021/3/6 23:00,1,2339,1
63,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/1 12:00,2021/3/6 23:00,3,2339,1
64,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/1 14:00,2021/3/6 23:00,0,0,0
65,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/1 16:00,2021/3/6 23:00,0,0,0
66,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/1 18:00,2021/3/6 23:00,0,0,0
76,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/2 08:00,2021/3/6 23:00,6,2339,1
77,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/2 10:00,2021/3/6 23:00,0,0,0
78,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/2 12:00,2021/3/6 23:00,0,0,0
79,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/2 14:00,2021/3/6 23:00,0,0,0
80,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/2 16:00,2021/3/6 23:00,0,0,0
81,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/2 18:00,2021/3/6 23:00,0,0,0
88,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/3 08:00,2021/3/6 23:00,0,0,0
89,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/3 10:00,2021/3/6 23:00,0,0,0
90,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/3 12:00,2021/3/6 23:00,0,0,0
92,IC10-QSH-143 S,TSN,新港,NSH,南沙,2021/3/3 14:00,2021/3/6 23:00,1,2339,1
96,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/26 08:00,2020/4/4 23:00,0,0,0
97,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/26 10:00,2020/4/4 23:00,0,0,0
98,IC10-R3N-089 S,TSN,新港,NSH,南沙,2020/3/26 12:00,2020/4/4 23:00,0,0,0
