,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_INTEVAL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
5,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-23 08:00:00,2020-04-28 15:00:00,7,1548.0,1
6,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-23 10:00:00,2020-04-28 15:00:00,0,0.0,0
7,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-23 12:00:00,2020-04-28 15:00:00,0,0.0,0
8,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-23 14:00:00,2020-04-28 15:00:00,0,0.0,0
9,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-23 16:00:00,2020-04-28 15:00:00,0,0.0,0
10,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-23 18:00:00,2020-04-28 15:00:00,0,0.0,0
26,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-24 08:00:00,2020-04-28 15:00:00,6,1548.0,1
27,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-24 10:00:00,2020-04-28 15:00:00,0,0.0,0
28,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-24 12:00:00,2020-04-28 15:00:00,0,0.0,0
29,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-24 14:00:00,2020-04-28 15:00:00,0,0.0,0
30,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-24 16:00:00,2020-04-28 15:00:00,0,0.0,0
31,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-24 18:00:00,2020-04-28 15:00:00,0,0.0,0
45,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-25 08:00:00,2020-04-28 15:00:00,7,1548.0,1
46,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-25 10:00:00,2020-04-28 15:00:00,0,0.0,0
47,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-25 12:00:00,2020-04-28 15:00:00,0,0.0,0
48,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-25 14:00:00,2020-04-28 15:00:00,0,0.0,0
49,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-25 16:00:00,2020-04-28 15:00:00,0,0.0,0
50,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-25 18:00:00,2020-04-28 15:00:00,0,0.0,0
64,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-26 08:00:00,2020-04-28 15:00:00,6,1548.0,1
65,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-26 10:00:00,2020-04-28 15:00:00,0,0.0,0
66,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-26 12:00:00,2020-04-28 15:00:00,0,0.0,0
67,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-26 14:00:00,2020-04-28 15:00:00,0,0.0,0
68,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-26 16:00:00,2020-04-28 15:00:00,0,0.0,0
69,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-26 18:00:00,2020-04-28 15:00:00,0,0.0,0
76,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-27 08:00:00,2020-04-28 15:00:00,0,0.0,0
78,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-27 10:00:00,2020-04-28 15:00:00,70,1498.0,1
79,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-27 12:00:00,2020-04-28 15:00:00,0,0.0,0
81,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-27 14:00:00,2020-04-28 15:00:00,61,1498.0,1
82,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-27 16:00:00,2020-04-28 15:00:00,0,0.0,0
83,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-27 18:00:00,2020-04-28 15:00:00,0,0.0,0
95,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-28 08:00:00,2020-04-28 15:00:00,6,1498.0,1
96,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-28 10:00:00,2020-04-28 15:00:00,0,0.0,0
97,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-28 12:00:00,2020-04-28 15:00:00,0,0.0,0
98,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-28 14:00:00,2020-04-28 15:00:00,0,0.0,0
99,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-28 16:00:00,2020-04-28 15:00:00,0,0.0,0
100,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-28 18:00:00,2020-04-28 15:00:00,0,0.0,0
108,IC29-NPL-003 S,YIK,营口,QZH,钦州,2020-04-29 08:00:00,2020-04-28 15:00:00,5,1498.0,1
120,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-10 08:00:00,2020-10-27 22:00:00,8,3078.0,1
121,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-10 10:00:00,2020-10-27 22:00:00,0,0.0,0
122,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-10 12:00:00,2020-10-27 22:00:00,0,0.0,0
123,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-10 14:00:00,2020-10-27 22:00:00,0,0.0,0
124,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-10 16:00:00,2020-10-27 22:00:00,0,0.0,0
125,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-10 18:00:00,2020-10-27 22:00:00,0,0.0,0
132,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-11 08:00:00,2020-10-27 22:00:00,0,0.0,0
133,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-11 10:00:00,2020-10-27 22:00:00,0,0.0,0
134,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-11 12:00:00,2020-10-27 22:00:00,0,0.0,0
135,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-11 14:00:00,2020-10-27 22:00:00,0,0.0,0
136,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-11 16:00:00,2020-10-27 22:00:00,0,0.0,0
137,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-11 18:00:00,2020-10-27 22:00:00,0,0.0,0
144,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-12 08:00:00,2020-10-27 22:00:00,0,0.0,0
145,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-12 10:00:00,2020-10-27 22:00:00,0,0.0,0
146,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-12 12:00:00,2020-10-27 22:00:00,0,0.0,0
147,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-12 14:00:00,2020-10-27 22:00:00,0,0.0,0
148,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-12 16:00:00,2020-10-27 22:00:00,0,0.0,0
149,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-12 18:00:00,2020-10-27 22:00:00,0,0.0,0
163,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-13 08:00:00,2020-10-27 22:00:00,94,3078.0,1
164,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-13 10:00:00,2020-10-27 22:00:00,0,0.0,0
165,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-13 12:00:00,2020-10-27 22:00:00,0,0.0,0
166,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-13 14:00:00,2020-10-27 22:00:00,0,0.0,0
167,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-13 16:00:00,2020-10-27 22:00:00,0,0.0,0
168,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-13 18:00:00,2020-10-27 22:00:00,0,0.0,0
176,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-14 08:00:00,2020-10-27 22:00:00,40,3078.0,1
177,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-09 14:00:00,2020-10-27 22:00:00,16,3078.0,1
179,IC29-NLX-019 S,YIK,营口,QZH,钦州,2020-10-09 16:00:00,2020-10-27 22:00:00,1,3078.0,1
