,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_AUD_DTDL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
5709,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/10 8:00,2019/12/21 2:00,0,0,0
5710,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/10 10:00,2019/12/21 2:00,0,0,0
5712,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/10 12:00,2019/12/21 2:00,18,4366,1
5714,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/10 14:00,2019/12/21 2:00,77,4366,1
5716,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/10 16:00,2019/12/21 2:00,32,4366,1
5717,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/10 18:00,2019/12/21 2:00,0,0,0
5731,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/11 8:00,2019/12/21 2:00,24,4366,1
5732,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/11 10:00,2019/12/21 2:00,0,0,0
5733,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/11 12:00,2019/12/21 2:00,0,0,0
5734,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/11 14:00,2019/12/21 2:00,0,0,0
5735,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/11 16:00,2019/12/21 2:00,0,0,0
5736,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/11 18:00,2019/12/21 2:00,0,0,0
5744,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/12 8:00,2019/12/21 2:00,8,4366,1
5745,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/12 10:00,2019/12/21 2:00,0,0,0
5746,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/12 12:00,2019/12/21 2:00,0,0,0
5747,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/12 14:00,2019/12/21 2:00,0,0,0
5748,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/12 16:00,2019/12/21 2:00,0,0,0
5749,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/12 18:00,2019/12/21 2:00,0,0,0
5757,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/13 8:00,2019/12/21 2:00,2,4366,1
8997,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/13 8:00,2019/12/20 12:00,0,0,0
5758,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/13 10:00,2019/12/21 2:00,0,0,0
8998,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/13 10:00,2019/12/20 12:00,0,0,0
5759,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/13 12:00,2019/12/21 2:00,0,0,0
8999,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/13 12:00,2019/12/20 12:00,0,0,0
5760,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/13 14:00,2019/12/21 2:00,0,0,0
9001,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/13 14:00,2019/12/20 12:00,5,4746,1
5761,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/13 16:00,2019/12/21 2:00,0,0,0
9002,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/13 16:00,2019/12/20 12:00,0,0,0
5762,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/13 18:00,2019/12/21 2:00,0,0,0
9003,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/13 18:00,2019/12/20 12:00,0,0,0
5769,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/14 8:00,2019/12/21 2:00,0,0,0
9010,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/14 8:00,2019/12/20 12:00,0,0,0
5770,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/14 10:00,2019/12/21 2:00,0,0,0
9011,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/14 10:00,2019/12/20 12:00,0,0,0
5771,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/14 12:00,2019/12/21 2:00,0,0,0
9012,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/14 12:00,2019/12/20 12:00,0,0,0
5772,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/14 14:00,2019/12/21 2:00,0,0,0
9013,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/14 14:00,2019/12/20 12:00,0,0,0
5773,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/14 16:00,2019/12/21 2:00,0,0,0
9014,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/14 16:00,2019/12/20 12:00,0,0,0
5774,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/14 18:00,2019/12/21 2:00,0,0,0
9015,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/14 18:00,2019/12/20 12:00,0,0,0
5781,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/15 8:00,2019/12/21 2:00,0,0,0
9022,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/15 8:00,2019/12/20 12:00,0,0,0
5782,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/15 10:00,2019/12/21 2:00,0,0,0
9023,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/15 10:00,2019/12/20 12:00,0,0,0
5783,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/15 12:00,2019/12/21 2:00,0,0,0
9024,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/15 12:00,2019/12/20 12:00,0,0,0
5784,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/15 14:00,2019/12/21 2:00,0,0,0
9025,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/15 14:00,2019/12/20 12:00,0,0,0
5785,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/15 16:00,2019/12/21 2:00,0,0,0
9026,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/15 16:00,2019/12/20 12:00,0,0,0
5786,IC29-NLY-006 S,YIK,营口,QZH,钦州,2019/12/15 18:00,2019/12/21 2:00,0,0,0
9027,IC29-CAK-169 S,YIK,营口,QZH,钦州,2019/12/15 18:00,2019/12/20 12:00,0,0,0
